1,127621,5409.9447513812,-30.119338013171,-51.253564033637
1,127621,5509.3922651934,-30.117036874839,-51.251997119175
1,127621,5529.2817679558,-30.11638717684,-51.252793601239
1,127621,5549.1712707182,-30.11551002224,-51.253568061729
1,127621,5628.729281768,-30.113794309061,-51.254761521294
1,127621,5708.2872928177,-30.112841622374,-51.255180107088
1,127621,5767.955801105,-30.111673219129,-51.255046995425
1,127621,5787.8453038674,-30.111568658123,-51.254820362349
1,127621,5807.7348066298,-30.111873994894,-51.254528853071
1,127621,5827.6243093923,-30.111323263155,-51.254918301004
